Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1245020,-,-,-,40.77,-73.98,-5,19,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,14,30,63,750,-5,0.070100002,2.7,62.05,1,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,15,0,53,697,-4,0.070100002,2.5,66.05,1,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,15,30,43,591,-4,0.070100002,2.3,70.98,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,16,0,28,437,-4,0.070100002,2.2,73.54,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,16,30,0,0,-4,0.070100002,2.3,73.54,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,17,0,0,0,-3,0.070100002,2.5,74.96,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,17,30,0,0,-3,0.070100002,2.5,74.96,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,18,0,0,0,-3,0.070100002,2.6,76.55,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,18,30,0,0,-3,0.070100002,2.6,76.56,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,19,0,0,0,-3,0.070100002,2.6,77.98,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
